1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.503930	0.000000	2.175630	0.038716	787.4
1	-0.504026	0.000000	2.175630	0.042754	2.7
2	-0.461661	0.000000	2.175630	0.056304	2.5
3	-0.459758	0.999990	2.076738	0.037453	2.2
4	-0.495977	0.238616	2.151186	0.015084	2.1
5	-0.478740	0.320192	2.142955	0.033181	2.2
6	-0.453260	0.000000	2.175630	0.014486	2.3
7	-0.450522	0.833442	2.092580	0.029569	2.2
8	-0.458243	1.476275	2.032731	0.024696	2.1
9	-0.489043	2.200905	1.969243	0.030777	2.2
10	-0.470698	3.195534	1.888291	0.049300	2.3
11	-0.424244	4.192017	1.813599	0.038075	2.2
12	-0.476339	3.430821	1.870106	0.021143	2.2
13	-0.451966	4.319689	1.804454	0.043953	2.3
14	-0.437678	4.209534	1.812339	0.026883	2.2
15	-0.459398	5.209077	1.743221	0.027511	2.2
16	-0.408837	6.040907	1.689596	0.010740	2.2
17	-0.458464	5.451196	1.727265	0.042335	2.3
18	-0.444283	4.750966	1.774233	0.029850	2.1
19	-0.444273	5.436526	1.728223	0.045486	2.4
20	-0.472689	6.436490	1.665236	0.039181	2.1
21	-0.519859	5.675188	1.712761	0.025625	2.3
22	-0.496988	6.672425	1.651038	0.024316	2.2
23	-0.465283	6.784583	1.644373	0.010074	2.6
24	-0.530614	6.422937	1.666059	0.027990	2.5
25	-0.488754	5.831231	1.702800	0.011542	2.6
26	-0.445315	5.164625	1.746183	0.041915	2.3
27	-0.448233	4.807989	1.770313	0.009706	2.2
28	-0.473704	5.722140	1.709752	0.016996	2.2
29	-0.445534	5.619143	1.716367	0.013551	2.2
30	-0.475007	5.972782	1.693864	0.022958	2.4
31	-0.470715	5.902435	1.698293	0.030846	5.1
32	-0.430047	5.605328	1.717258	0.056618	2.2
33	-0.472378	4.846890	1.767649	0.058209	2.2
34	-0.439815	5.846890	1.701807	0.023753	2.3
35	-0.456868	6.846833	1.640697	0.010479	2.2
36	-0.450392	6.917673	1.636534	0.022210	6.1
37	-0.473410	6.822334	1.642142	0.008427	2.2
38	-0.475294	6.836771	1.641290	0.055126	2.2
39	-0.469269	6.180527	1.680917	0.026060	2.3
40	-0.485423	5.419453	1.729340	0.041446	2.3
41	-0.517975	6.398407	1.667550	0.028307	2.2
42	-0.422476	7.371490	1.610357	0.016260	2.2
43	-0.489895	8.029568	1.573851	0.009857	2.1
44	-0.494938	8.481859	1.549706	0.016236	2.2
45	-0.482057	8.983145	1.523797	0.036064	2.0
46	-0.444208	9.867307	1.480149	0.033102	2.0
47	-0.438894	9.639688	1.491145	0.023485	1.8
48	-0.453326	10.505478	1.450168	0.010465	2.0
49	-0.511201	10.151528	1.466645	0.029415	2.1
50	-0.463880	10.949099	1.430032	0.037565	2.4
51	-0.509580	11.938688	1.387069	0.020096	2.0
52	-0.556629	11.389831	1.410573	0.035816	2.1
53	-0.491371	10.686653	1.441876	0.039030	2.2
54	-0.501685	9.944605	1.476452	0.019494	3.4
55	-0.456883	10.781669	1.437565	0.038219	2.2
56	-0.419043	10.418145	1.454199	0.023771	2.7
57	-0.470333	9.657522	1.490278	0.035164	2.4
58	-0.529651	9.171998	1.514259	0.021442	2.7
59	-0.459103	8.413276	1.553320	0.033946	2.6
60	-0.528924	9.407391	1.502537	0.036160	2.2
61	-0.464026	8.646167	1.541117	0.017374	2.1
62	-0.509286	8.886481	1.528725	0.026809	2.5
63	-0.549733	8.738221	1.536347	0.027987	2.3
64	-0.474583	8.003177	1.575283	0.039395	2.2
65	-0.448401	7.308385	1.613947	0.043000	2.6
66	-0.471060	8.272877	1.560770	0.024334	2.9
67	-0.475731	9.271813	1.509266	0.030265	2.4
68	-0.462591	8.866027	1.529772	0.022185	2.1
69	-0.499990	9.828485	1.482013	0.028648	2.7
70	-0.413052	10.271536	1.461016	0.015899	2.4
71	-0.482113	9.953679	1.476019	0.047596	2.1
72	-0.481077	9.489819	1.498475	0.030257	2.2
73	-0.469744	10.489791	1.450890	0.028081	2.2
74	-0.443178	11.485254	1.406430	0.022092	2.1
75	-0.506558	12.415562	1.367274	0.039117	2.3
76	-0.437588	13.411851	1.327689	0.059008	2.9
77	-0.476674	12.650474	1.357729	0.025245	2.2
78	-0.440400	13.423348	1.327245	0.043565	2.4
79	-0.511271	14.421242	1.289854	0.034648	2.1
80	-0.443140	13.660150	1.318177	0.036205	2.2
81	-0.492813	14.645855	1.281726	0.018408	2.1
82	-0.444105	13.892535	1.309398	0.029960	2.3
83	-0.510841	13.198564	1.335969	0.030671	2.3
84	-0.417764	12.444027	1.366110	0.066370	2.3
85	-0.479600	13.444016	1.326449	0.009693	2.2
86	-0.494014	14.382885	1.291252	0.034553	2.2
87	-0.420009	13.978343	1.306186	0.025965	2.1
88	-0.536296	14.751075	1.277954	0.033390	1.7
89	-0.552223	15.734901	1.243728	0.042657	1.8
90	-0.487335	16.734855	1.210770	0.019276	1.8
91	-0.427879	16.420181	1.220951	0.015201	1.8
92	-0.433047	17.035801	1.201190	0.020780	1.5
